Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
D. Roßbach,Altglienicke,"LCB, LB",33,400000,2027-06-30,29,2533,1,2.06,Germany,Germany,left,187,83,no
L. Fröde,Ingolstadt,"RCMF, CB, RDMF",31,400000,2027-06-30,32,2835,5,2.65,Germany,Germany,right,192,86,no
P. Klement,,"AMF, LCMF, RCMF",33,400000,,24,1758,3,2.19,Germany,Germany,left,175,72,no
K. Bennetts,Notts County,"LWB, LWF, LW",27,400000,2026-06-30,15,313,0,0.08,England,"England, Germany",left,181,78,no
K. Çalhanoğlu,Gaziantep,"LB, LWB",23,400000,2028-06-30,8,602,0,0.08,Germany,"Germany, Türkiye",left,180,79,no
C. Krempicki,Borussia Dortmund II,"RCMF, LCMF",31,400000,2028-06-30,24,1695,1,1.3,Germany,"Germany, Poland",both,178,78,no
B. Böckle,Rheindorf Altach,LB,24,400000,2029-06-30,6,58,0,0.37,Austria,Austria,left,185,79,no
F. Kaufmann,BG Pathum United,"CF, RCMF, RAMF",33,400000,2027-06-30,34,2029,3,2.53,Germany,Germany,right,181,74,no
K. Gjasula,Hoffenheim II,"CB, RCMF",36,400000,2028-06-30,17,1084,0,0.58,Albania,"Albania, Germany",right,190,84,no
A. Brunst,Darmstadt 98,GK,31,400000,2027-06-30,3,242,0,0.0,Germany,Germany,right,195,88,no
S. Kapino,AEL,GK,32,400000,2028-05-31,5,487,0,0.0,Greece,Greece,right,196,85,no
J. Geis,,"DMF, RDMF, RCMF",32,400000,,30,1812,0,0.5,Germany,Germany,right,181,81,no
J. Lawrence,Almere City,"LCB, RCB",33,400000,2027-06-30,21,1659,0,0.55,England,"England, Wales",left,188,81,no
F. Lohkemper,Sandhausen,"CF, LAMF, AMF",31,400000,2029-06-30,20,981,3,2.03,Germany,Germany,right,179,76,no
N. Niemann,Tychy 71,RCMF,26,400000,,1,12,0,0.0,Germany,"Germany, Afghanistan",right,171,60,no
K. Kraus,Idar-Oberstein,"RCB, LCB, CB",33,400000,,25,2319,3,3.37,Germany,Germany,right,190,91,no
L. Krajnc,Maribor,LCB,31,400000,,20,1619,1,1.02,Slovenia,Slovenia,left,188,90,no
L. Klünter,Waldhof Mannheim,"RB, RWB",30,350000,2027-06-30,23,1911,0,0.58,Germany,Germany,right,184,76,no
P. Hercher,Magdeburg,"RAMF, RW, CF",30,350000,2026-06-30,28,1221,5,4.27,Germany,Germany,right,182,80,no
T. Trybull,OB,"LDMF, LCMF, RDMF",33,350000,2026-06-30,12,834,0,0.15,Germany,Germany,right,181,72,no
M. Pulkrab,Teplice,CF,29,350000,,16,863,0,1.74,Czech Republic,Czech Republic,right,185,83,no
P. Strompf,Bochum,LCB,28,350000,2028-06-30,5,350,0,0.48,Germany,Germany,left,194,91,no
P. Heise,VVV Venlo,LB,34,350000,2027-06-30,32,2845,3,1.43,Germany,Germany,left,184,78,no
N. Shipnoski,SGV Freiberg,"RAMF, RW",28,350000,2026-06-30,22,1074,1,2.46,Germany,Germany,right,184,75,no
M. Schröter,1860 München,"RB, CF, RW",30,350000,2026-06-30,20,500,0,0.56,Germany,Germany,right,183,79,no
M. Momuluh,Arminia Bielefeld,"RW, RAMF",24,350000,2026-06-30,5,227,0,0.2,Germany,Germany,right,181,76,no
L. Castaignos,,"CF, AMF",33,350000,,7,392,1,1.99,Netherlands,"Netherlands, France",right,187,85,no
