Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
Alejandro Mestanza,Atlético Madrid B,"AMF, RCMF, LW",21,0,2029-06-30,11,576,1,0.65,Spain,Spain,right,177,68,no
Neskes,Real Avilés,"LW, AMF",24,0,2027-06-30,9,313,0,0.06,Spain,Spain,right,178,70,no
Sergio Moriones,,"LCMF, RCMF, DMF",23,0,,4,48,0,0.0,Spain,Spain,,0,0,no
Dani Lorenzo,Málaga,"AMF, CF",23,0,2029-06-30,17,1303,2,2.06,Spain,Spain,right,176,68,no
Juan Lorente,Linares Deportivo II,"AMF, RWB, RCMF",25,0,,5,48,0,0.0,Spain,Spain,right,0,0,no
Yoel Lago,Celta Fortuna,"RCB, CB, RCMF",22,0,2029-06-30,16,577,0,0.0,Spain,Spain,right,0,0,no
Carlos Domínguez,Celta de Vigo,"CB, LCB",25,0,2028-06-30,15,1374,1,0.99,Spain,Spain,left,187,78,no
Hugo Álvarez,Celta de Vigo,"LWB, LWF, AMF",23,0,2028-06-30,37,2857,2,3.66,Spain,Spain,right,176,72,no
Tincho,Castellón,LWB,23,0,2029-06-30,21,1299,1,1.07,Spain,Spain,left,167,61,no
Pablo Durán,Celta de Vigo,"CF, RWF, RW",25,0,2028-06-30,29,1224,2,4.52,Spain,Spain,right,176,69,no
Iván López,Atlético Baleares,"RCB, LCB",25,0,2028-06-30,17,905,0,0.76,Spain,Spain,right,0,0,no
Fran López,Gran Peña,"CF, AMF",24,0,,5,100,0,0.0,Spain,Spain,right,0,0,no
N. Aberdin,Sochi,RCB,23,0,2028-06-30,4,131,0,0.0,France,"France, Morocco",right,192,83,no
Fernando García,Providence Friars,RCMF,23,0,,1,7,0,0.0,Spain,Spain,,0,0,no
Adrián Galindo,,"CF, RW, LWF",22,0,,3,38,0,0.45,Spain,Spain,,180,73,no
Antonio Moyano,Diamond Harbour,"RCMF, RDMF",25,0,,28,1528,2,1.7,Spain,Spain,right,178,66,no
Taufek Bayoud,Almería B,"CF, RCMF",25,0,,1,97,0,0.33,Spain,Spain,left,178,70,no
Yeremay Hernández,Deportivo La Coruña,"LAMF, LW",23,0,2030-06-30,23,659,3,2.67,Spain,Spain,right,169,61,no
Trilli,Real Valladolid,RB,23,0,2027-06-30,11,511,0,0.31,Spain,Spain,right,184,77,no
Mario Soriano,Deportivo La Coruña,"LW, LWF, AMF",24,0,2028-06-30,38,3264,8,8.59,Spain,Spain,right,163,60,no
S. Loukou,,"LW, RW, LAMF",24,0,,7,114,0,0.06,Ghana,Ghana,right,169,62,no
Perdi,Cazalegas,RB,25,0,,13,750,0,0.07,Spain,Spain,right,0,0,no
L. Sangaré,Falkenberg,"DMF, LCMF, RCMF",24,0,2028-12-31,33,2690,1,0.74,Côte d'Ivoire,Côte d'Ivoire,right,183,77,no
Y. Ouédraogo,,LDMF,23,0,,1,13,0,0.0,Burkina Faso,Burkina Faso,right,0,0,no
Edu Sánchez,Antequera,LB,21,0,,20,1378,0,0.04,Spain,"Spain, Cuba",left,179,70,no
Santy Müller,,CF,22,0,,9,178,1,0.5,Argentina,"Argentina, Spain",both,185,79,no
T. Nakai,Leganés B,"RCMF, LCMF",22,0,,2,13,0,0.0,Japan,Japan,right,182,68,no
Edgar Pujol,Racing Ferrol,"RCB, LCB",21,0,2027-06-30,20,1160,1,0.47,Spain,"Spain, Dominican Republic",right,177,73,no
Nico Paz,Como,"CF, RCMF, LCMF",21,0,2028-06-30,18,1004,2,2.8,Spain,"Spain, Argentina",left,186,81,no
Gonzalo García,Real Madrid,"CF, RWB, RCMF",22,0,2030-06-30,8,199,0,0.37,Spain,Spain,right,168,0,no
Albert Querol,Pobla de Mafumet,CF,24,0,,1,21,0,0.41,Spain,Spain,,0,0,no
B. Hallebeek,Lleida Esportiu,"LCB, LB",23,0,,2,75,0,0.01,Netherlands,Netherlands,left,178,69,no
Marc Montalvo,Gimnàstic Tarragona,"RCMF, LCMF, DMF",24,0,2028-06-30,35,2624,1,0.19,Spain,Spain,right,0,0,no
M. Álvarez,Gimnàstic Tarragona,"CF, LW, RW",25,0,,31,1333,1,1.76,Spain,Spain,right,175,67,no
Arnau Solà,Arouca,LB,23,0,2028-06-30,26,2325,0,0.65,Spain,Spain,left,179,68,no
Javi Rueda,Celta de Vigo,RB,24,0,,28,2416,2,0.94,Spain,Spain,right,177,74,no
Javi Montava,George Mason Patriots,"RCMF, LCMF",23,0,,2,80,0,0.0,Spain,Spain,right,0,0,no
Guille Thompson,,LW,25,0,,1,9,0,0.0,Spain,"Spain, England",,0,0,no
Aleix Garrido,Eibar,"RCMF, AMF",22,0,2028-06-30,11,434,1,0.33,Spain,Spain,right,170,63,no
Álex Valle,Como,LB,22,0,2029-06-30,19,1702,0,0.04,Spain,Spain,left,178,75,no
Víctor Savall,Racing CF Benidorm,"RCB, LCB",24,0,,5,273,0,0.0,Spain,Spain,right,185,77,no
Pablo Sáenz,Real Oviedo,"AMF, LW, LAMF",25,0,2028-06-30,18,857,1,1.0,Spain,Spain,left,175,68,no
Álex Ibarrondo,Eldense,"RW, RAMF, RB",25,0,2027-06-30,32,2071,0,1.29,Spain,Spain,right,183,76,no
Unai Egiluz,Athletic Club,"RCB, LCB",24,0,2028-06-30,27,2282,0,1.08,Spain,Spain,right,186,79,no
Unai Naveira,Barakaldo,"DMF, RCMF, LCMF",25,0,2027-06-30,15,1010,0,0.41,Spain,Spain,right,183,75,no
Mikel Goti,Real Sociedad B,"CF, RAMF, RW",24,0,2028-06-30,32,2231,5,4.66,Spain,Spain,left,185,75,no
Ibon Ispizua,Barakaldo,GK,23,0,2027-06-30,13,1257,0,0.0,Spain,Spain,right,185,77,no
Adu Ares,Eibar,"LW, LAMF, RW",24,0,2030-06-30,28,2572,4,4.21,Spain,"Spain, Guinea-Bissau",right,183,72,no
Pocho Román,Atlético Tucumán,"RW, RWF, RAMF",22,0,2027-12-31,11,149,1,0.81,Argentina,"Argentina, Italy",left,160,55,yes
Estanis Pedrola,Sampdoria,"LWF, LW",22,0,2027-06-30,23,1629,8,4.12,Spain,Spain,right,185,78,no
Pelayo Fernández,Rayo Vallecano,RCB,23,0,2028-06-30,28,2566,1,0.6,Spain,Spain,right,193,80,no
Arnau Rafús,,GK,23,0,,3,281,0,0.0,Spain,Spain,right,190,78,no
Txus Alba,Rayo Majadahonda,LCMF,23,0,2027-06-30,32,2048,1,2.8,Spain,Spain,right,173,65,no
Marc Casadó,Barcelona,DMF,22,0,2028-06-30,36,3122,0,0.02,Spain,Spain,right,172,66,no
Gonzalo Serrano,Águilas,"CF, RAMF",24,0,2027-06-30,3,84,0,0.18,Spain,Spain,right,188,78,no
Iván Fernández,,LCB,24,0,,1,53,0,0.0,Spain,Spain,left,188,80,no
Raul Sanchís,,"RDMF, LCMF, RAMF",23,0,,4,78,0,0.0,Spain,Spain,right,180,0,no
Oriol Soldevila,Hércules,"RAMF, RW, LW",25,0,2028-06-30,37,2097,2,3.5,Spain,Spain,left,185,76,no
M. Bellotti,Intercity SJ D' Alacant,"LCMF, LDMF, AMF",24,0,2028-06-30,30,1738,1,0.39,Argentina,"Argentina, Italy",right,176,61,no
Iker San Vicente,Salamanca CF UDS,LCB,25,0,2027-06-30,1,52,0,0.0,Spain,Spain,right,0,0,no
Álex Daza,Unionistas de Salamanca,GK,24,0,2027-06-30,8,715,0,0.0,Spain,Spain,right,183,73,no
T. Ramón,Algeciras,"LCMF, AMF",24,0,2027-06-30,24,1054,0,0.41,Spain,Spain,right,180,71,no
Oscar Sánchez,Magpies,"LCB, RW",24,0,,4,81,0,0.0,Spain,"Spain, Brazil",both,186,74,no
Borja Calvo,Eldense,"AMF, CF, LW",24,0,2028-06-30,27,1245,4,1.53,Spain,Spain,right,177,69,no
Eneko Delgado,Sestao River,"RCMF, AMF",25,0,2027-06-30,22,973,1,1.58,Spain,Spain,left,173,66,no
Jaume Piñol,,"RW, LCMF, RCMF",23,0,,10,260,0,0.23,Spain,Spain,right,0,0,no
Marc Vargas,CE Atletic Lleida 2019,"RB, RWB",24,0,,21,877,0,0.13,Spain,Spain,right,177,67,no
Sergi Altimira,Sporting CP,"LCMF, DMF",24,0,2031-06-30,33,2381,0,2.01,Spain,Spain,right,188,80,no
Pau Víctor,Sporting Braga,CF,24,0,2030-06-30,36,2905,7,8.77,Spain,Spain,right,184,77,no
Álex Sala,Lecce,"DMF, LCMF, CB",25,0,2028-06-30,24,1820,0,1.02,Spain,Spain,right,185,77,no
Jeremy De León,Real Madrid Castilla,"RAMF, RW, LAMF",22,0,,30,1103,2,1.68,Puerto Rico,Puerto Rico,left,175,67,no
Jose Sempere,,"LCMF, LDMF",23,0,,3,48,0,0.0,Spain,Spain,,0,0,no
Moha Ndiaye,,"CF, RAMF, LAMF",24,0,,4,109,0,0.33,Spain,Spain,unknown,0,0,no
Antonio Jesús,,"LCMF, AMF",25,0,,22,973,0,0.31,Spain,Spain,right,174,65,no
Unai Buján,Marbella,"RW, LW, RAMF",25,0,,38,1792,6,3.81,Spain,Spain,right,174,69,no
S. Baldrich,,CF,23,0,,10,415,0,0.6,Spain,Spain,right,180,72,no
Albert Ramis,,"LW, LAMF, RW",23,0,,10,231,0,0.02,Spain,Spain,right,0,0,no
L. Lespinasse,B68,"CF, LW",25,0,,8,232,1,0.17,France,France,right,182,76,no
Egoitz Arana,Sporting Gijón,GK,24,0,2028-06-30,4,387,0,0.0,Spain,Spain,left,197,86,no
Ander Herrero,Real Unión II,"CF, RCMF, AMF",24,0,,7,215,0,0.17,Spain,Spain,,0,0,no
D. Stamatakis,Osasuna Promesas,GK,23,0,2027-06-30,6,556,0,0.0,Greece,Greece,right,191,83,no
Q. Bari,Real Avilés,"LW, LAMF, RAMF",24,0,,14,459,0,1.15,Guinea-Bissau,"Guinea-Bissau, Spain",right,177,68,no
Junior Bita,Kustošija,"LCMF, DMF, RDMF",21,0,2028-06-30,10,697,0,0.0,Spain,"Spain, Equatorial Guinea",right,182,74,no
Alejandro Rego,Athletic Bilbao,"DMF, RCMF, LDMF",23,0,2030-06-30,30,1741,1,0.91,Spain,Spain,right,192,79,no
Raúl Chasco,,LB,22,0,,28,2280,0,0.13,Spain,Spain,left,179,68,no
Beñat Gerenabarrena,Athletic Club,"RCMF, RDMF",23,0,2027-06-30,35,2980,1,2.0,Spain,Spain,right,173,67,no
Álex Padilla,Athletic Club,GK,22,0,2029-06-30,25,2400,0,0.0,Spain,"Spain, Mexico",right,190,79,no
