Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
L. Andersen,,"LWF, AMF, RCMF",31,500000,,7,437,0,0.14,Denmark,Denmark,right,185,73,no
H. Andersson,Värnamo,"LCB, RCB",27,500000,2027-12-31,9,454,0,0.17,Sweden,Sweden,right,196,86,no
N. Flø,Sønderjyske,GK,30,500000,2029-06-30,8,774,0,0.0,Denmark,Denmark,right,190,91,no
D. Tchamba,Remo,LCB,27,500000,2026-12-31,26,2061,2,2.22,Cameroon,Cameroon,left,191,79,no
D. Kolinger,Persija,RCB,32,500000,2028-06-30,29,2760,1,2.6,Croatia,Croatia,right,199,92,no
L. Djordjević,BATE,CF,32,500000,2026-12-31,20,1093,5,4.47,Montenegro,Montenegro,both,184,74,no
F. Christensen,MSV Duisburg,LCMF,24,500000,2029-06-30,1,6,0,0.0,Denmark,Denmark,left,180,66,no
J. King,Brisbane Roar,LB,25,500000,2028-06-30,11,991,0,0.23,Australia,Australia,left,179,68,no
J. Grot,OB,CF,28,500000,2027-06-30,26,1773,4,5.56,Netherlands,"Netherlands, Suriname",right,193,98,no
J. Bonde,OB,"LCMF, DMF",32,500000,2027-06-30,32,2809,6,7.98,Denmark,Denmark,left,186,75,no
C. Sørensen,Vejle,LB,33,500000,2028-06-30,33,3248,2,1.73,Denmark,Denmark,left,179,74,no
A. Trajkovski,Lokomotiva Zagreb,CF,33,450000,2026-06-30,7,323,0,0.22,North Macedonia,North Macedonia,right,179,78,no
F. Børsting,AaB,"LWB, LB",31,450000,2027-06-30,17,898,0,1.03,Denmark,Denmark,right,178,74,no
Pedro Ferreira,Santa Clara,"DMF, LCMF",28,450000,2028-06-30,17,1286,2,1.58,Portugal,Portugal,right,183,81,no
R. Wikström,Elfsborg,RB,25,450000,2029-12-31,1,9,0,0.0,Sweden,Sweden,right,189,76,no
R. Gabrielsen,Lillestrøm,RCB,34,450000,2027-12-31,4,240,0,0.23,Norway,Norway,right,187,87,no
J. Gallegos,Botev Vratsa,"AMF, LW, LWF",24,450000,2027-06-30,13,664,1,1.28,United States,United States,right,176,68,no
R. Gojani,Kalmar,LCMF,33,450000,2027-12-31,22,1545,0,1.06,Sweden,"Sweden, Kosovo",right,174,71,no
T. Klysner,Sønderjyske,"RW, LW, RB",24,450000,2027-06-30,25,926,0,1.4,Denmark,Denmark,right,183,69,no
L. Thomas,Western Sydney Wanderers,GK,33,450000,2027-06-30,24,2317,0,0.0,Australia,"Australia, Italy",right,191,91,no
J. Gammelby,Silkeborg,"RWB, RCB, RB",31,450000,2028-06-30,7,313,0,0.09,Denmark,Denmark,both,192,81,no
B. Kadrii,,"CF, AMF",35,450000,,28,1544,1,3.69,Denmark,"Denmark, North Macedonia",left,177,74,no
J. Thomasen,Lyngby,"LDMF, RDMF, LCMF",30,450000,2027-06-30,28,2332,2,1.69,Denmark,Denmark,right,177,65,no
H. Dalsgaard,AGF,RCB,36,400000,2026-06-30,28,2616,2,1.7,Denmark,Denmark,right,192,81,no
J. Lössl,Midtjylland,GK,36,400000,2029-06-30,8,783,0,0.0,Denmark,Denmark,right,195,89,no
V. Onovo,,"LCMF, RCMF",29,400000,,8,265,0,0.2,Nigeria,Nigeria,right,171,74,no
A. Pavlović,,CF,32,400000,,18,575,0,1.12,Serbia,Serbia,left,189,89,no
M. Makarić,Da Nang,CF,30,400000,,31,1998,8,4.41,Serbia,Serbia,right,185,78,no
R. Ascone,Nordsjælland,LAMF,22,400000,2029-12-31,1,6,0,0.0,France,"France, Italy",left,177,68,no
V. Hammershøy-Mistrati,B.93,"CF, AMF, RCMF",33,400000,2027-06-30,31,2597,7,7.56,Denmark,"Denmark, Italy",right,177,76,no
T. Kehinde,Bandırmaspor,"RW, LW, RAMF",27,400000,2027-06-30,28,2215,5,5.44,Nigeria,"Nigeria, England",right,178,75,no
N. Helenius,AaB,CF,34,400000,2026-06-30,29,2663,17,13.48,Denmark,Denmark,right,196,85,no
A. Munksgaard,Kristiansund,RB,28,400000,2027-12-31,17,1236,0,0.53,Denmark,Denmark,right,181,75,no
J. Jensen-Abbew,AGF,CB,23,400000,2028-12-31,11,399,0,0.0,Denmark,"Denmark, Ghana",right,187,80,no
A. Amoo,,RW,24,400000,,2,68,1,0.89,Nigeria,Nigeria,left,163,68,no
P. Mortensen,Brøndby,CF,36,400000,2028-06-30,28,2236,6,8.64,Denmark,Denmark,right,188,78,no
N. Larsen,Vejle,GK,35,400000,2028-06-30,31,2971,0,0.0,Denmark,Denmark,right,187,83,no
I. Jebali,Gamba Osaka,"AMF, LAMF, CF",34,400000,,25,1978,10,9.23,Tunisia,Tunisia,right,186,84,no
Aron Elís Thrándarson,Víkingur Reykjavík,"RDMF, LDMF, RCMF",31,400000,2026-12-31,22,1648,0,0.94,Iceland,Iceland,right,187,83,no
N. Mickelson,Elversberg,RB,27,400000,2027-06-30,24,2180,0,0.11,Norway,"Norway, Thailand",right,185,80,no
Heron,Londrina,"LB, LCB",25,400000,2026-11-30,16,961,0,0.44,Brazil,Brazil,left,186,78,no
A. Brunst,Darmstadt 98,GK,31,400000,2027-06-30,21,2064,0,0.0,Germany,Germany,right,195,88,no
D. Emmanouilidis,Levadiakos,"RW, LWF, AMF",25,400000,2027-06-30,26,1077,3,2.96,Greece,Greece,right,175,71,no
F. Carstensen,Sarpsborg 08,"AMF, CF",23,350000,2028-12-31,4,43,1,0.5,Denmark,Denmark,right,179,66,no
M. Egho,Hvidovre,CF,31,350000,2027-06-30,10,562,1,1.34,Austria,Austria,right,187,80,no
M. Christensen,Öster,"LCMF, DMF, RCMF",28,350000,2027-12-31,17,907,0,1.46,Denmark,Denmark,right,182,74,no
P. Bjur,Esbjerg,"RCMF, RWB",26,350000,2027-06-30,3,42,0,0.05,Denmark,Denmark,left,180,77,no
Gud. Thórarinsson,ÍA,"LB, LWB",33,350000,2028-12-31,6,382,0,0.45,Iceland,Iceland,left,183,75,no
F. Tingager,AGF,"LCB, RCB",32,350000,2028-06-30,24,1725,2,1.77,Denmark,Denmark,right,198,94,no
A. Barkarson,Zulte-Waregem,"LWB, LB",24,350000,2026-06-30,7,454,0,0.2,Iceland,Iceland,left,0,0,no
A. Gersbach,Western Sydney Wanderers,LW,28,350000,2027-06-30,1,42,0,0.0,Australia,"Australia, Greece",left,183,73,no
S. Reese,Middelfart,"LCB, CB",32,350000,,8,550,0,0.27,Denmark,Denmark,left,184,77,no
M. Kaalund,Hvidovre,LCMF,29,350000,,7,459,0,0.42,Denmark,Denmark,right,183,75,no
M. Opondo,Fredericia,"LAMF, RAMF, LW",28,350000,,13,420,1,0.61,Denmark,"Denmark, Uganda",right,173,72,no
A. Taiwo,Riga FC,CF,27,350000,,15,997,1,2.64,Nigeria,Nigeria,right,178,80,no
T. Gundelund,Vejle,"RB, RCMF",24,350000,2028-06-30,11,501,0,0.02,Denmark,Denmark,right,178,68,no
S. Berger,Silkeborg,"RCMF, LCMF",23,350000,2028-12-31,22,488,0,0.36,Denmark,Denmark,left,175,0,no
J. Grønning,Viborg,DMF,35,350000,2027-06-30,29,2533,2,1.93,Denmark,Denmark,right,182,67,no
L. Gordinho,Cape Town,"RCB, LCB",32,350000,,4,291,0,0.1,South Africa,"South Africa, Portugal",right,185,78,no
A. Jatta,Notts County,CF,27,325000,2027-06-30,26,732,3,4.26,Gambia,Gambia,right,192,75,no
D. Høegh,Randers,"CB, LCB, RCB",34,300000,2027-06-30,19,1645,0,1.62,Denmark,Denmark,right,190,79,no
R. Corlu,Hillerød,"RCMF, RW",28,300000,2028-06-30,3,111,0,0.0,Denmark,"Denmark, Türkiye",left,171,70,no
C. Björk,B.93,CF,26,300000,2026-06-30,11,370,0,2.25,Sweden,Sweden,right,188,74,yes
A. Skipper,Esbjerg,"RCB, LCB",26,300000,2027-06-30,5,309,0,0.03,Denmark,Denmark,right,194,77,no
R. Schouten,Septemvri Sofia,"RWB, RB, DMF",27,300000,2027-06-30,5,108,0,0.15,Netherlands,Netherlands,right,178,71,no
F. Brandhof,Horsens,"RCMF, LCMF",29,300000,2028-06-30,27,1865,1,1.11,Denmark,Denmark,right,182,77,no
K. Hansen,,"RCB, CB",36,300000,,26,2135,2,0.88,Denmark,Denmark,right,184,74,no
M. Ivančević,Lyngby,"LCB, CB, RCB",26,300000,2027-06-30,8,702,0,0.24,Serbia,Serbia,right,187,80,no
