Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
Julián Angulo,Millonarios,"RWF, LW, RW",24,250000,2027-12-31,14,755,0,0.35,Colombia,Colombia,left,183,76,yes
J. Caldera,Deportivo Cali,RCB,24,250000,2027-12-31,18,1562,2,1.98,Colombia,Colombia,right,185,77,no
E. Beltran,Alianza,GK,26,250000,,3,286,0,0.0,Colombia,Colombia,,0,0,no
L. Jiménez,Jaguares de Córdoba,"RB, LB, LWB",28,225000,,20,1610,2,1.09,Colombia,Colombia,right,168,61,no
D. Echeverri,,CF,36,200000,,13,974,11,7.2,Colombia,Colombia,right,182,78,no
J. Riquett,Once Caldas,LCB,36,200000,2026-12-31,15,1362,0,0.6,Colombia,Colombia,left,188,80,no
B. Correa,,"LB, LWB",33,200000,,40,3515,0,1.05,Colombia,Colombia,left,170,65,no
J. Montaño,,"RB, LB, RWB",33,200000,,6,166,0,0.0,Colombia,Colombia,right,170,69,no
A. Rivera,,LB,31,200000,,32,2733,0,0.37,Colombia,Colombia,left,175,70,no
J. Figueroa,Leones,GK,33,200000,,21,2046,0,0.0,Colombia,Colombia,right,183,75,no
J. Giraldo,Unión Magdalena,"LDMF, LCMF, RCMF",28,200000,,19,626,0,0.03,Colombia,Colombia,left,173,70,no
F. Espinal,Zamora,"LWF, LW",28,200000,2026-12-31,23,1656,2,3.53,Colombia,Colombia,left,181,74,yes
C. Mosquera,Bogotá,RB,25,200000,,23,2026,0,0.98,Colombia,Colombia,right,172,70,no
S. Guzmán,,RB,26,200000,,15,1302,0,0.15,Colombia,Colombia,right,179,69,no
J. Caicedo,Barranquilla,"RCB, LCB",25,200000,,6,367,0,0.23,Colombia,Colombia,right,188,0,no
N. Mosorongo,Atlético,"CB, RCMF, DMF",24,200000,,27,2392,0,0.13,Colombia,Colombia,,175,0,no
J. Ditta,Real Cartagena,CF,22,200000,2027-06-30,3,100,0,0.19,Colombia,Colombia,,177,0,no
M. Torres,Los Chankas,"LW, LWF, RWF",24,200000,,23,1072,0,1.02,Colombia,Colombia,right,176,69,no
R. Lára,San Francisco,CF,24,200000,,3,26,0,0.23,Colombia,Colombia,right,176,0,no
Weimar Asprilla,Santa Fe,GK,27,200000,2028-06-30,3,287,0,0.0,Colombia,Colombia,right,185,79,no
G. Peña,Conquense,CF,25,200000,2026-06-30,25,1792,9,9.35,Colombia,Colombia,right,190,68,no
D. Forbes,,"LCMF, RCMF",25,200000,,18,1111,0,1.07,Colombia,Colombia,,0,0,no
J. Becerra,Nakhon Ratchasima,"LDMF, RCMF, LCMF",27,200000,,10,161,0,0.0,Colombia,Colombia,right,183,72,no
J. Silva,,GK,32,175000,,16,1536,0,0.0,Colombia,Colombia,right,189,80,no
O. García,Royal Pari,"LAMF, RAMF, LWF",33,175000,,12,655,1,1.15,Colombia,Colombia,right,183,79,no
Ángel Bonilla,Victoria Hotspurs ,"RB, RCMF, RDMF",28,150000,2026-06-30,9,564,0,0.12,Colombia,Colombia,right,177,70,no
V. Cabezas,Unión Magdalena,GK,28,150000,,21,2010,0,0.0,Colombia,Colombia,left,190,79,no
Y. Mena,Santos,"LW, LWF, CF",29,150000,,24,1408,7,4.28,Colombia,Colombia,right,183,79,no
C. Salguero,Patriotas Boyacá,"RW, RB",29,150000,,28,2400,2,1.59,Colombia,Colombia,right,173,0,no
O. Vásquez,Alianza Universidad,"CF, AMF",36,150000,,18,1382,2,0.87,Colombia,Colombia,left,167,62,no
S. Duque,,GK,32,150000,,23,2213,0,0.0,Colombia,Colombia,right,182,78,no
Y. Filigrana,,CF,35,150000,,6,385,5,2.41,Colombia,Colombia,right,186,80,no
J. Balanta,Fortaleza,"RAMF, RW, RWF",28,150000,,5,200,0,0.06,Colombia,Colombia,right,0,0,no
D. Ruíz,Boyacá Chicó,"RWB, RB",28,150000,,6,325,0,0.09,Colombia,Colombia,right,0,0,no
D. Mosquera,,"LCMF, AMF",30,150000,,2,41,0,0.0,Colombia,Colombia,right,190,86,no
J. Palacios,Unión Magdalena,"RW, RWF, LAMF",29,150000,,30,2010,8,5.53,Colombia,Colombia,right,171,67,no
M. Álvarez,Zamora,CF,32,150000,2026-12-31,29,2087,8,7.51,Colombia,Colombia,right,179,76,no
J. Salcedo,Real Soacha Cundinamarca,"CF, AMF",33,150000,,28,1856,7,5.99,Colombia,Colombia,right,176,56,no
D. Montoya,,"RB, RCB, LCB",30,150000,,12,784,0,0.6,Colombia,Colombia,right,178,71,no
H. Borja,,RB,29,150000,,18,1423,0,0.12,Colombia,Colombia,right,174,70,no
Jeferson Rivas,Real Potosí,CF,29,150000,2026-06-30,37,1561,9,6.0,Colombia,Colombia,right,181,77,no
T. Velásquez,,LB,29,150000,,18,1538,1,0.28,Colombia,Colombia,left,170,65,no
J. Hurtado,Patriotas Boyacá,RCB,28,150000,2026-12-31,27,2061,1,0.22,Colombia,Colombia,right,186,85,no
E. Valencia,Vega Real,"RCB, LCB",25,150000,2026-06-30,4,284,0,0.0,Colombia,Colombia,right,191,0,no
