Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
Y. Becker,,LWB,35,0,,13,1229,1,0.38,Germany,"Germany, United States",both,180,67,no
B. Jopek,,"LCMF, RCMF",32,0,,33,2807,3,2.09,Germany,Germany,left,183,77,no
J. Sonnenberg,,"RCB, DMF, CF",32,0,,3,27,0,0.0,Germany,Germany,right,191,0,no
T. Fölster,,"CB, LCB, RCB",32,0,,32,2993,2,2.0,Germany,Germany,right,190,0,no
R. Herrmann,Lupo-Martini,"LAMF, LB, LW",32,0,,29,2121,4,3.9,Germany,Germany,left,181,73,no
L. Meyer,Heeslinger SC,"RCMF, LW, CF",34,0,2026-06-30,22,960,1,2.53,Germany,Germany,both,185,0,no
D. Kina,,"RWB, RB",33,0,,3,21,0,0.0,Germany,Germany,both,178,0,no
C. Strohdiek,,"RCB, DMF, CB",38,0,,21,1443,1,2.3,Germany,Germany,right,192,85,no
A. Bunjaku,,CF,42,0,,5,172,0,1.14,Kosovo,"Kosovo, Switzerland",right,178,77,no
M. Risse,,"RAMF, RW, RWF",36,0,,34,2896,3,5.92,Germany,Germany,right,183,75,no
M. Pourié,Barockstadt Fulda-Lehnerz,"CF, AMF",35,0,2027-06-30,27,2024,8,10.28,Germany,Germany,right,185,83,no
D. Cicek,SV Rot-Weiß Walldorf U19,"RCMF, LCMF",33,0,2027-06-30,10,240,0,0.04,Germany,"Germany, Türkiye",left,171,0,no
M. Ballmert,,"RB, RCB",32,0,,33,3024,1,1.45,Germany,Germany,right,173,68,no
B. Behrendt,Schöningen,RCB,34,0,2027-06-30,34,2974,1,1.65,Germany,Germany,right,187,77,no
T. Schirmer,,"LB, LAMF",23,0,,2,18,0,0.0,Germany,Germany,left,166,60,no
J. Klöpper,,"LCB, LB",24,0,,2,2,0,0.0,Germany,Germany,,190,0,no
E. Leopold,Hannover 96,"RCMF, DMF, CF",25,0,2030-06-30,24,1583,3,3.12,Germany,Germany,right,174,71,no
N. Weißhaupt,Darmstadt 98,"LWF, LWB, AMF",24,0,2030-06-30,11,1020,3,3.48,Germany,Germany,right,181,76,no
L. Samson,RSV Eintracht,"RDMF, LDMF, CB",31,0,2027-06-30,22,1760,0,0.59,Germany,"Germany, Nigeria",right,190,81,no
E. Yilmaz,Borussia Hildesheim,"RCMF, LCMF",31,0,2027-06-30,9,512,1,1.19,Germany,"Germany, Türkiye",both,175,70,no
Y. Heimur,,LCMF,23,0,,1,4,0,0.0,Germany,Germany,,0,0,no
F. Sucsuz,,"LB, LWB",29,0,,2,38,0,0.02,Germany,"Germany, Türkiye",left,172,67,no
D. Beyreuther,TuS Rüssingen,LWB,26,0,2028-06-30,7,521,0,0.37,Germany,"Germany, Nigeria",left,180,69,no
J. Looschen,Meppen II,CF,29,0,2026-06-30,1,6,0,0.0,Germany,Germany,,0,0,no
L. Kugland,,LB,26,0,,1,94,0,0.0,Germany,Germany,left,176,0,no
L. Hebbelmann,Meppen II,RCMF,27,0,2027-06-30,1,18,0,0.0,Germany,Germany,,0,0,no
D. Benke,,CF,23,0,,1,1,0,0.0,Germany,Germany,,0,0,no
M. Hinnenkamp,Meppen II,RCMF,24,0,2027-06-30,3,82,0,0.0,Germany,Germany,both,186,0,no
M. Franke,Lippstadt 08,"LWF, RWF, LAMF",24,0,2026-06-30,2,36,0,0.0,Germany,Germany,right,169,68,no
M. Hilßner,,"LW, RW",31,0,,8,378,0,0.16,Germany,Germany,left,183,79,no
G. Jurcher,,CF,29,0,,11,389,0,0.66,Germany,Germany,right,175,77,no
E. Kouadio,,"RB, RAMF",27,0,,2,39,0,0.0,Côte d'Ivoire,"Côte d'Ivoire, Germany",right,180,0,no
M. Kamenz,,GK,27,0,,3,281,0,0.0,Germany,Germany,right,187,80,no
A. Lebeau,Hansa Rostock,"CF, AMF",26,0,,24,1366,2,4.65,France,France,right,175,67,no
R. Rosenberger,,RW,21,0,,1,3,0,0.0,Germany,Germany,both,188,73,no
Y. Ernst,Hertha Wiesbach,RWB,23,0,2026-06-30,1,97,0,0.05,Germany,Germany,unknown,0,0,no
C. Jander,Southampton,"RCMF, LCMF",23,0,2028-06-30,10,241,0,0.06,Germany,Germany,right,183,75,no
S. Bösel,,"LCMF, RCMF, AMF",31,0,,8,293,0,0.05,Germany,Germany,both,180,74,no
L. Knöferl,Dachau,"RW, RCMF",23,0,2028-06-30,3,45,0,0.03,Germany,Germany,right,179,74,no
L. Morgalla,Bochum,"LCB, RCB",21,0,2028-06-30,11,508,0,0.38,Germany,Germany,right,186,74,no
M. Kleinsorge,Eintracht Nordhorn,"LAMF, CF, RCMF",30,0,2026-06-30,4,134,0,0.28,Germany,Germany,right,170,69,no
Y. Scintu,Türkgücü München,CF,29,0,,1,16,0,0.0,Italy,"Italy, Nigeria",right,193,92,no
M. Wagner,,GK,25,0,,1,94,0,0.0,Germany,Germany,right,187,80,no
T. Linsbichler,,"CF, AMF",26,0,,23,478,0,1.39,Austria,Austria,right,193,81,no
A. Freitag,,"RCMF, AMF, LCMF",27,0,,5,23,0,0.0,Germany,Germany,left,178,74,no
N. Gibs,Kaiserslautern,"LWB, LB, RB",24,0,,5,218,0,0.01,Germany,Germany,left,180,76,no
J. Chorushij,,RCMF,23,0,,1,3,0,0.0,Germany,Germany,right,172,0,no
A. Moulai,,LWF,22,0,,1,23,0,0.0,Germany,Germany,,0,0,no
H. Traoré,Lippstadt 08,LCMF,25,0,2026-06-30,1,9,0,0.15,Germany,Germany,right,182,0,no
F. Stumpe,,RW,24,0,,1,5,0,0.0,Germany,Germany,,176,75,no
R. Scheu,,"RAMF, RW, CF",31,0,,29,1424,2,3.83,Germany,Germany,both,175,77,no
J. Hupe,,GK,26,0,,1,93,0,0.0,Germany,Germany,right,192,0,no
J. Steinkötter,1860 München,"CF, RW",26,0,2027-06-30,33,860,4,4.58,Germany,Germany,right,184,75,no
S. Coulibaly,Brest,LCB,22,0,2029-06-30,9,662,0,0.19,France,"France, Mali",left,191,73,yes
K. Ezekwem,Freiburg II,"LB, LWB",25,0,2026-06-30,14,933,0,0.52,Germany,"Germany, Nigeria",left,187,76,no
A. Thaqi,Wattenscheid 09,"RCB, LCB",24,0,2027-06-30,3,117,0,0.26,Germany,"Germany, Kosovo",right,185,84,no
Y. Moukoko,København,CF,21,0,2030-06-30,2,124,1,1.47,Cameroon,"Cameroon, Germany",left,179,72,no
F. Kath,,"LB, LWF, RB",31,0,,21,1140,3,2.78,Germany,Germany,left,186,78,no
S. Koruk,Bonner SC,CF,30,0,2026-06-30,22,814,1,2.17,Germany,"Germany, Türkiye",right,183,0,no
F. Lach,Schwarz-Weiß Essen,RCB,29,0,2026-06-30,10,806,1,0.98,Germany,Germany,right,190,80,no
C. Frommann,,GK,28,0,,3,283,0,0.0,Germany,Germany,right,185,78,no
L. Petkov,Elversberg,"RWF, LWF, RCMF",25,0,2027-06-30,37,2485,11,6.87,Germany,"Germany, Bulgaria",right,183,76,no
O. Schmitt,Meppen,"LWF, RWF",26,0,2027-06-30,11,377,1,0.55,Germany,Germany,right,180,73,no
T. Hümmer,Würzburger Kickers U19,"RWF, CF",23,0,2026-06-30,3,56,0,0.0,Germany,Germany,right,0,0,no
Lee Ji-Han,Hwaseong,LWF,23,0,,5,189,0,0.24,Korea Republic,Korea Republic,right,179,74,no
S. Ilic,Reutlingen,RCB,23,0,2026-06-30,1,2,0,0.0,Germany,Germany,right,187,0,no
A. Herzog,,"RCMF, RDMF, AMF",28,0,,9,687,1,0.39,Germany,Germany,right,180,77,no
F. Krebs,CSKA 1948 Sofia,"RCMF, LCMF",27,0,2028-12-31,2,29,0,0.12,Germany,Germany,right,188,79,no
M. Pašalić,Orlando City,"RWB, LWB",25,0,2027-12-31,13,606,2,1.55,Germany,"Germany, Croatia",left,177,74,no
N. Teichgräber,,"LCB, LB",30,0,,36,3196,0,0.8,Germany,Germany,left,173,73,no
L. Schneider,Arminia Bielefeld,"RB, RCB",26,0,,32,2620,1,0.97,Germany,Germany,right,185,77,no
T. Stirl,MNU Pioneers,GK,26,0,,1,93,0,0.0,Germany,Germany,both,189,83,no
T. Bierschenk,VfB IMO Merseburg,"CF, RCMF, RAMF",24,0,2027-06-30,6,105,0,0.32,Germany,Germany,right,180,79,no
A. Bazdrigiannis,,"LWF, RWF, CF",24,0,,5,75,0,0.0,Germany,"Germany, Greece",both,176,0,no
A. Moutassime,Lecco,CF,22,0,2027-06-30,1,28,0,0.09,Italy,Italy,left,0,0,no
R. Berlinski,Chemnitzer FC,"RWF, CF, LWF",31,0,2028-06-30,25,1094,10,7.05,Germany,Germany,right,182,74,no
J. Ngounou Djayo,,CF,25,0,,1,1,0,0.0,Germany,Germany,both,185,0,no
L. Sliskovic,Kriens,"LB, LWF",31,0,2027-06-30,3,26,0,0.03,Switzerland,"Switzerland, Austria",left,180,73,no
M. Baur,Celtic,"RWF, LCMF, RCMF",22,0,2030-06-30,10,528,1,0.66,Germany,Germany,both,172,64,no
