Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
E. Hoyos,Ferro Carril Oeste,"LW, CF, LAMF",26,0,2027-12-31,21,628,0,0.61,Argentina,Argentina,left,179,0,yes
A. Barquett,,"RB, RAMF",27,0,,9,501,1,0.4,Argentina,Argentina,right,172,69,no
J. Sandoval,,"RCMF, RB",27,0,,5,262,0,0.0,Argentina,Argentina,right,0,0,no
G. Casazza,,"RCMF, LCMF",27,0,,8,372,0,0.13,Argentina,Argentina,left,182,72,no
M. López,Flandria,LCB,26,0,2026-12-31,20,1446,0,0.29,Argentina,Argentina,left,180,75,no
M. Luque,Leones del Norte,"RB, LWB, LB",27,0,2026-12-31,18,800,0,0.1,Argentina,Argentina,right,182,70,no
A. Manzur,Guaraní,RW,25,0,2027-06-30,11,626,1,0.68,Argentina,Argentina,right,169,71,no
F. Giacopuzzi,Deportivo Madryn,LCB,25,0,2026-12-31,2,13,0,0.01,Argentina,Argentina,right,185,78,no
M. Denis,San Martín Formosa,"LCB, LB",26,0,2026-12-31,5,294,0,0.0,Argentina,Argentina,left,187,76,no
C. Carrizo,,RDMF,26,0,,2,122,0,0.07,Argentina,Argentina,right,175,74,no
G. Ríos,Independiente Rivadavia,"AMF, LCMF, RCMF",27,0,2026-12-31,32,2429,1,2.87,Argentina,Argentina,right,172,68,no
J. Romero,,"CF, AMF, LCMF",25,0,,15,438,0,0.3,Argentina,Argentina,right,170,65,no
T. Galván,Sportivo Peñarol,RCMF,24,0,,1,13,0,0.17,Argentina,Argentina,,181,74,no
I. Sabatini,Gimnasia Mendoza,"CF, RAMF, RW",27,0,2028-12-31,5,257,0,0.64,Argentina,"Argentina, Italy",right,0,0,no
B. Nellen,Unión Sunchales,"CF, RW, LW",26,0,,5,123,0,0.08,Argentina,Argentina,right,177,69,no
L. Regalado,San Martín San Juan Res.,CF,24,0,,1,3,0,0.0,Argentina,Argentina,,0,0,no
D. Atencio,,GK,23,0,,1,95,0,0.0,Argentina,Argentina,right,0,0,no
M. Sosa,Huracán Las Heras,RCMF,25,0,2026-12-31,1,14,0,0.0,Argentina,Argentina,right,180,0,no
E. Suraci,,RCB,27,0,,1,14,0,0.0,Argentina,Argentina,right,178,76,no
L. Ambrogio,Nueva Chicago,"RW, RAMF",26,0,2027-12-31,17,1000,2,1.07,Argentina,Argentina,right,181,72,yes
J. Kruger,Talleres Remedios,LB,25,0,2027-12-31,1,5,0,0.0,Argentina,Argentina,left,174,74,yes
J. Franzoni,Gimnasia Jujuy,CF,26,0,2026-12-31,20,824,1,2.01,Argentina,Argentina,right,180,75,no
E. Paredes,Ferro Carril Oeste LP,"AMF, DMF, LCMF",27,0,,2,29,0,0.0,Argentina,Argentina,right,170,66,no
M. Gómez,,"LAMF, LW, RW",27,0,,11,762,0,0.53,Argentina,Argentina,left,170,65,no
A. Espeche,Excursionistas,"RWB, RW, RCMF",26,0,2026-12-31,11,372,0,0.11,Argentina,Argentina,right,168,65,no
L. Fernández,Jomo Cosmos,"CF, LW, RW",27,0,,2,47,0,0.05,Argentina,Argentina,right,173,70,no
T. Allende,Inter Miami,"CF, RW, RAMF",27,0,2030-06-30,24,853,0,1.25,Argentina,"Argentina, Italy",right,183,78,no
L. González,Colegiales,"CF, LAMF",25,0,2027-12-31,2,33,0,0.01,Argentina,Argentina,right,175,68,no
S. Scacchi,UAI Urquiza,"RW, RAMF",27,0,2026-12-31,2,17,0,0.0,Argentina,Argentina,,0,0,no
P. Tanda,Guaraní,"LCMF, RCMF",24,0,2026-12-31,5,250,0,0.09,Argentina,Argentina,left,177,73,yes
