Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
M. Christiansen,Næstved,"RAMF, LW, LAMF",26,0,,11,322,1,0.18,Denmark,Denmark,,164,54,no
C. Remmer,Frem,"RB, RWB",33,0,2027-06-30,8,432,0,0.36,Denmark,Denmark,right,182,79,no
M. Kisum,Næstved,"LW, LAMF, LCMF",27,0,2027-06-30,11,643,1,0.61,Denmark,Denmark,right,187,0,no
A. Jakobsen,Castellón,"CF, RWF",27,0,2030-06-30,31,2539,11,7.8,Denmark,Denmark,right,185,81,no
E. Nissen,Aarhus Fremad,LCB,29,0,,21,1396,2,2.18,Denmark,Denmark,right,193,82,no
S. Bækgård,Aarhus Fremad,"DMF, RCMF",26,0,2027-06-30,30,2538,0,0.59,Denmark,Denmark,right,179,73,no
M. Garly Pedersen,Holbæk B&I,"LDMF, AMF, RCMF",24,0,,14,275,0,0.19,Denmark,Denmark,,0,0,no
M. Freitag,Roskilde,"CF, AMF, LAMF",24,0,2027-06-30,29,967,2,2.33,Denmark,Denmark,right,181,0,no
Mohammad Hassan,Fremad Amager,GK,24,0,,1,99,0,0.0,Denmark,Denmark,right,186,0,no
C. Cordua,Næstved,LWF,24,0,,1,4,0,0.0,Denmark,Denmark,left,181,0,no
N. Dannevang,Sundby,GK,35,0,,31,2939,0,0.0,Denmark,Denmark,right,195,78,no
M. Kongstedt,Næstved,"RDMF, RCMF, LDMF",31,0,,30,2475,3,3.22,Denmark,Denmark,right,186,0,no
S. Dhaflaoui,Helsingør,"AMF, CF",30,0,,30,2313,6,6.52,Denmark,"Denmark, Tunisia",both,170,67,no
J. Christiansen,,RCB,35,0,,31,2886,1,2.54,Denmark,Denmark,right,188,84,no
M. Høst,Næstved,LB,27,0,,30,2812,0,0.46,Denmark,Denmark,left,0,0,no
M. Haüser,Næstved,"LDMF, LCMF, RDMF",28,0,,29,2704,1,0.72,Denmark,Denmark,right,180,74,no
O. Kass Kawo,Jaro,"RCMF, AMF",24,0,2026-12-31,6,72,0,0.0,Syria,Syria,unknown,180,0,no
L. Nyman,Nykøbing,"RDMF, DMF",22,0,,8,313,0,0.21,Denmark,Denmark,,181,0,no
O. Jakobsen,Nykøbing,"RAMF, RW, LAMF",21,0,2027-06-30,20,765,1,0.64,Denmark,Denmark,,0,0,no
N. Alexander Huge,,RB,21,0,,6,443,0,0.0,Denmark,Denmark,,0,0,no
