Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
Carlos Bacca,Junior,CF,39,400000,2026-12-31,20,1462,9,8.62,Colombia,Colombia,right,181,77,no
Y. Cabrera,Boyacá Chicó,"AMF, LCMF, RDMF",35,400000,2026-12-31,32,1891,0,2.02,Colombia,Colombia,right,168,62,no
N. Castrillón,Grêmio Novorizontino,"RB, RCB",30,400000,2026-11-30,24,1610,0,0.47,Colombia,Colombia,right,183,79,no
I. Alba,Atlético Bucaramanga,RB,31,400000,2026-12-31,42,3498,1,1.34,Colombia,Colombia,right,175,0,no
O. Vanegas,Club Atlético Güemes,"LCB, RCB",30,400000,,12,951,0,0.41,Colombia,Colombia,right,185,74,no
J. Cuenú,Operário PR,"RCB, LCB",31,400000,2026-11-30,22,1352,0,0.88,Colombia,Colombia,right,192,86,no
J. Aja,Unión Española,RCB,33,400000,2026-12-31,18,1574,1,1.03,Uruguay,Uruguay,right,191,84,no
P. Lima,Academia Puerto Cabello,"RCMF, AMF",35,400000,2026-12-31,45,4223,6,6.8,Uruguay,"Uruguay, Italy",right,181,80,no
A. Rentería,Jaguares de Córdoba,CF,33,400000,,19,1356,8,9.88,Colombia,"Colombia, Mexico",right,179,82,no
F. Mosquera,Jaguares de Córdoba,"LCB, RCB, RDMF",31,400000,,23,1586,0,0.4,Colombia,Colombia,right,180,73,no
S. Orozco,,"LDMF, RCMF, LCMF",30,400000,,35,2267,0,0.86,Colombia,Colombia,right,177,70,no
D. Moreno,Amed SK,"RB, RW, RAMF",31,400000,2027-06-30,29,1402,1,2.41,Colombia,Colombia,right,179,78,no
R. Colpa,Jaguares de Córdoba,"RCMF, RDMF, RCB",31,400000,,31,2330,1,1.39,Colombia,Colombia,right,180,76,no
F. Hinestroza,Atlético Bucaramanga,"LAMF, LW, LWB",36,400000,,30,2491,4,4.68,Colombia,Colombia,left,178,76,no
H. Castillo,Gimnasia La Plata,GK,32,400000,2026-12-31,41,4043,0,0.0,Colombia,Colombia,right,188,69,no
V. Mejía,Cúcuta Deportivo,"RDMF, DMF",33,400000,2026-12-31,29,2359,0,0.11,Colombia,Colombia,right,184,70,no
G. Perea,Olancho,LCB,34,400000,,20,1721,1,0.93,Colombia,Colombia,right,182,76,no
B. Garcés,Blooming,"LAMF, LW",33,400000,,14,430,1,1.13,Colombia,Colombia,right,174,70,no
F. Cantillo,Alianza,"LCMF, LDMF, RCMF",28,400000,2026-12-31,30,2176,1,1.82,Colombia,Colombia,right,184,79,yes
R. Lora,Real Cartagena,"RCB, RCMF, LCB",29,400000,2026-12-31,27,2277,0,0.32,Colombia,Colombia,right,186,81,no
Iván Scarpeta,Santa Fe,"RCB, CB",30,400000,2027-06-30,33,3148,1,2.4,Colombia,Colombia,right,180,76,no
L. Pons,Atlético Bucaramanga,CF,36,400000,2028-12-31,49,3714,17,15.8,Argentina,Argentina,right,181,79,no
Jordy Monroy,Deportivo Pereira,"RB, RW",30,400000,,15,939,0,0.01,Colombia,"Colombia, Armenia",right,185,80,no
L. Flores,Atlético Bucaramanga,"LCMF, LDMF",30,400000,2027-12-31,23,1678,0,0.21,Venezuela,Venezuela,left,176,70,no
J. Moya,Deportivo Cali,"LCB, RCB",34,400000,2027-06-30,19,1832,0,0.45,Colombia,Colombia,right,185,77,no
S. Mosquera,Millonarios,LCB,32,400000,,14,1128,1,0.28,Colombia,Colombia,right,185,77,no
L. Miranda,Llaneros,"RAMF, CF",28,400000,,37,2080,5,5.23,Colombia,Colombia,right,180,64,no
R. Bustamante,Jaguares de Córdoba,"LDMF, LCMF, RDMF",26,400000,,35,2906,0,0.34,Colombia,Colombia,right,175,66,no
J. Palacios,Orenburg,RCB,26,400000,2029-06-30,19,1457,0,0.09,Colombia,Colombia,right,188,81,no
O. Acosta,Real Soacha Cundinamarca,LB,26,400000,,3,155,0,0.0,Colombia,Colombia,left,178,67,no
L. Riascos,Llaneros,RB,25,400000,,13,1022,0,0.46,Colombia,Colombia,right,177,70,no
O. Albornoz,Cúcuta Deportivo,"LAMF, RAMF, RW",30,350000,2027-12-31,24,1027,1,2.37,Colombia,Colombia,left,183,79,no
Y. Moreno,Estudiantes Río Cuarto,"CF, RAMF",29,350000,2027-12-31,20,418,1,0.53,Colombia,Colombia,right,188,84,no
D. Silva,Millonarios,"AMF, CF",39,350000,2026-12-31,44,3613,5,8.8,Colombia,Colombia,right,175,74,no
F. Jaramillo,Monagas,"RDMF, LDMF, RCMF",30,350000,2026-12-31,15,1210,1,0.56,Colombia,Colombia,right,185,80,no
J. Quintero,Los Chankas,CF,32,350000,2026-12-31,24,1236,2,3.09,Colombia,Colombia,right,188,80,no
A. Auzmendi,Gimnasia La Plata,"CF, AMF",29,350000,2026-12-31,4,93,0,0.03,Argentina,Argentina,right,181,0,yes
A. Torralvo,,"LW, LB, LAMF",32,350000,,34,2184,0,0.88,Colombia,Colombia,left,169,67,no
S. Jiménez,Deportivo Pasto,RB,28,350000,,23,1546,1,0.31,Colombia,Colombia,right,180,70,no
R. Márquez,Águilas Doradas,CF,28,350000,2027-06-30,29,1743,9,6.77,Colombia,Colombia,right,187,83,yes
J. Cardona,Once Caldas,"RB, LB",27,350000,2026-12-31,29,2130,0,1.47,Colombia,Colombia,right,184,78,no
J. Contreras,Llaneros,"LAMF, LW, LWF",27,350000,2027-06-30,26,1275,0,0.43,Colombia,Colombia,left,170,64,yes
E. Arango,,"LW, LAMF, RW",32,350000,,32,2378,4,3.4,Colombia,Colombia,right,173,63,no
Jefersson Martínez,Junior,GK,32,350000,2026-12-31,4,390,0,0.0,Colombia,Colombia,right,188,85,no
F. Sambueza,Atlético Bucaramanga,"AMF, LCMF, RAMF",37,350000,2026-12-31,41,2567,3,3.93,Argentina,Argentina,right,169,65,no
Y. Gordillo,Barracas Central,"LDMF, DMF, RDMF",34,350000,2026-12-31,16,830,0,0.02,Colombia,Colombia,right,176,73,no
E. Chaux,Medellín,GK,34,350000,2026-12-31,20,1966,0,0.0,Colombia,Colombia,right,189,79,no
J. Rodríguez,Real Cartagena,"LCMF, RCMF",33,350000,,39,2288,0,1.71,Colombia,Colombia,left,180,67,no
C. Blanco,Boyacá Chicó,LB,27,350000,,42,3652,2,0.22,Colombia,Colombia,left,175,70,no
A. Estupiñán,Millonarios,"LAMF, RAMF, CF",32,350000,2026-12-31,33,1898,8,3.54,Colombia,Colombia,right,175,75,no
J. Malagón,Jaguares de Córdoba,"RCB, LCB",33,350000,,31,2226,2,2.31,Colombia,Colombia,right,185,77,no
J. Roa,Águilas Doradas,"RCMF, DMF, RDMF",31,350000,,34,2910,0,0.21,Colombia,Colombia,right,178,65,no
P. Rojas,Anzoátegui FC,"LW, LAMF, RAMF",34,350000,2026-12-31,26,2369,8,6.1,Colombia,Colombia,right,168,72,no
G. Banguera,Deportivo Pasto,GK,30,350000,,5,448,0,0.0,Colombia,Colombia,right,187,80,no
Luis Pérez,ADT,"RDMF, RCMF, DMF",30,350000,2026-12-31,31,2877,1,1.23,Colombia,Colombia,left,176,73,no
C. De Las Salas,Real Cartagena,LB,28,350000,,36,3259,1,1.45,Colombia,Colombia,left,173,72,no
C. Sierra,América de Cali,"LCMF, LDMF",35,350000,,38,3475,9,5.32,Colombia,Colombia,left,183,0,no
N. Giraldo,,LB,33,350000,,37,2427,0,0.79,Colombia,Colombia,left,175,70,no
A. Domínguez,LDU Quito,GK,39,350000,2026-12-31,9,880,0,0.0,Ecuador,Ecuador,right,196,80,no
D. Banguero,Millonarios,LB,36,350000,2026-12-31,40,3030,3,2.81,Colombia,Colombia,left,185,85,no
J. Quiñónes,Deportivo Pasto,RCB,36,350000,,27,2540,1,1.35,Colombia,Colombia,right,195,84,no
F. Aguilar,Central Córdoba SdE,RCB,33,350000,2027-12-31,10,855,0,0.0,Colombia,Colombia,right,190,82,no
Jhon Duque,,"RDMF, LDMF, RCMF",34,350000,,20,1014,1,0.51,Colombia,Colombia,left,173,71,no
